"Address","Zip","2016-2020","2021-2025","change","perct_change"
"977 AIRPORT SERVICE RD",37214,1,15,14,1400
"1090 MURFREESBORO PIKE",37217,2,15,13,650
"130 W TRINITY LN",37207,14,27,13,93
"1801 DICKERSON PIKE",37207,4,17,13,325
"2232 GALLATIN PIKE N",37115,11,24,13,118
"2350 ELM HILL PIKE",37214,1,14,13,1300
"2400 BUENA VISTA PIKE",37218,3,16,13,433
"300 E WEBSTER ST",37115,18,31,13,72
"329 BROADWAY",37201,15,28,13,87
"3711 DICKERSON PIKE",37115,0,13,13,NA
"4040 NOLENSVILLE PIKE",37211,16,29,13,81
"511 S 8TH ST",37206,3,16,13,433
"515 METROPLEX DR",37211,2,15,13,650
"SHELBY ST PEDESTRIAN BRIDGE",37201,0,13,13,NA
"10 FAIRFIELD AVE",37210,3,15,12,400
"1900 HOBSON PIKE",37013,4,16,12,300
"2131 ELM HILL PIKE",37210,9,21,12,133
"250 REP JOHN LEWIS WAY S",37203,0,12,12,NA
"2801 JOHN A MERRITT BLVD",37209,2,14,12,600
"2940 DICKERSON PIKE",37207,0,12,12,NA
"3110 NOLENSVILLE PIKE",37211,6,18,12,200
"3930 CREEKSIDE DR",37211,0,12,12,NA
"3939 APACHE TRL",37013,1,13,12,1200
"500 HILLSIDE CT",37228,0,12,12,NA
"5055 BROADWAY PL",37203,0,12,12,NA
"701 STEWARTS FERRY PIKE",37214,5,17,12,240
"710 MURFREESBORO PIKE",37210,2,14,12,600
"808 LEA AVE",37203,0,12,12,NA
"893 MURFREESBORO PIKE",37217,8,20,12,150
"938 CANNON ST",37210,0,12,12,NA
"127 4TH AVE S",37203,1,12,11,1100
"1400 BRICK CHURCH PIKE",37207,5,16,11,220
"2050 GALLATIN PIKE N",37115,1,12,11,1100
"2112 CHARLOTTE AVE",37203,3,14,11,367
"2212 NOLENSVILLE PIKE",37210,3,14,11,367
"2905 DICKERSON PIKE",37207,5,16,11,220
"3056 DICKERSON PIKE",37207,0,11,11,NA
"3910 CENTRAL PIKE",37076,6,17,11,183
"3991 DICKERSON PIKE",37207,2,13,11,550
"420 MURFREESBORO PIKE",37210,15,26,11,73
"4328 HOPEWOOD DR",37211,0,11,11,NA
"5001 LINBAR DR",37211,6,17,11,183
"615 CHURCH ST",37219,4,15,11,275
"625 BENTON AVE",37204,4,15,11,275
"929 AIRPORT SERVICE RD",37214,0,11,11,NA
"1101 BELL RD",37013,11,21,10,91
"112 1ST AVE S",37213,0,10,10,NA
"1205 ROBINSON RD",37138,1,11,10,1000
"1309 MURFREESBORO PIKE",37217,4,14,10,250
"135 GALLATIN PIKE S",37115,0,10,10,NA
"1755 DR D B TODD JR BLVD",37208,1,11,10,1000
"200 GALLATIN PIKE S",37115,11,21,10,91
"204 LARGO DR",37203,0,10,10,NA
"4199 NOLENSVILLE PIKE",37211,0,10,10,NA
"1007 MURFREESBORO PIKE",37217,1,10,9,900
"110 3RD AVE S",37201,0,9,9,NA
"1108 MURFREESBORO PIKE",37217,0,9,9,NA
"116 REP JOHN LEWIS WAY N",37219,0,9,9,NA
"1201 GALLATIN PIKE S",37115,1,10,9,900
"122 LIBERTY LN",37115,3,12,9,300
"132 LAFAYETTE ST",37210,0,9,9,NA
"135 DONELSON PIKE",37214,0,9,9,NA
"1441 LEBANON PIKE",37210,0,9,9,NA
"2500 WEST END AVE",37203,0,9,9,NA
"2521 ELM HILL PIKE",37214,0,9,9,NA
"3049 DICKERSON PIKE",37207,0,9,9,NA
"311 RACHEL RD",37214,0,9,9,NA
"3140 HAMILTON CHURCH RD",37013,0,9,9,NA
"3312 DICKERSON PIKE",37207,4,13,9,225
"3437 PERCY PRIEST DR",37214,5,14,9,180
"3470 LEBANON PIKE",37076,2,11,9,450
"3474 DICKERSON PIKE",37207,0,9,9,NA
"370 WALLACE RD",37211,7,16,9,129
"3930 CLARKSVILLE PIKE",37218,2,11,9,450
"400 BROADWAY",37203,3,12,9,300
"410 S 5TH ST",37206,0,9,9,NA
"420 METROPLEX DR",37211,35,44,9,26
"425 REP JOHN LEWIS WAY S",37203,0,9,9,NA
"4271 SIDCO DR",37204,8,17,9,112
"819 GALLATIN PIKE S",37115,2,11,9,450
"903 FAIRWIN AVE",37216,0,9,9,NA
"97 WALLACE RD",37211,16,25,9,56
"1 SYMPHONY PL",37201,0,8,8,NA
"1074 MURFREESBORO PIKE",37217,0,8,8,NA
"111 OLD HICKORY BLVD",37221,13,21,8,62
"1705 JENKINS ST",37208,1,9,8,800
"201 REP JOHN LEWIS WAY S",37203,0,8,8,NA
"227 SHELBY AVE",37213,11,19,8,73
"2410 MUSIC VALLEY DR",37214,4,12,8,200
"2514 NOLENSVILLE PIKE",37210,4,12,8,200
"2539 26TH AVE N",37208,0,8,8,NA
"315 4TH AVE N",37219,1,9,8,800
"355 E CEDAR ST",37072,8,16,8,100
"370 CUMBERLAND WAY",37115,0,8,8,NA
"4TH AVE N / BROADWAY",37203,0,8,8,NA
"5771 OLD HICKORY BLVD",37076,1,9,8,800
"611 COMMERCE ST",37203,3,11,8,267
"616 N DUPONT AVE",37115,0,8,8,NA
"721 DUE WEST AVE N",37115,4,12,8,200
"840 GLASTONBURY RD",37217,0,8,8,NA
"917 ONEIDA AVE",37207,2,10,8,400
"1001 MURFREESBORO PIKE",37217,0,7,7,NA
"101 GALLATIN PIKE N",37115,4,11,7,175
"101 GATEWOOD AVE",37207,0,7,7,NA
"107 4TH AVE N",37203,0,7,7,NA
"110 MAPLEWOOD TRCE",37207,3,10,7,233
"1109 MURFREESBORO PIKE",37217,0,7,7,NA
"111 4TH AVE S",37203,1,8,7,700
"1419 ROSA L PARKS BLVD",37208,0,7,7,NA
"18 EAST THOMPSON LN",37210,1,8,7,700
"1909 8TH AVE S",37203,2,9,7,350
"201 8TH AVE S",37203,1,8,7,700
"217 LARGO DR",37211,7,14,7,100
"2284 MURFREESBORO PIKE",37217,7,14,7,100
"2407 BRICK CHURCH PIKE",37207,2,9,7,350
"300 GREAT CIRCLE RD",37228,0,7,7,NA
"300 KOREAN VETERANS BLVD",37201,0,7,7,NA
"301 BROADWAY",37201,3,10,7,233
"3043 NOLENSVILLE PIKE",37211,2,9,7,350
"310 1ST AVE S",37201,4,11,7,175
"3258 BRICK CHURCH PIKE",37207,9,16,7,78
"3312 OAK TREES CT",37013,0,7,7,NA
"3328 CALAIS CIR",37013,1,8,7,700
"4041 NOLENSVILLE PIKE",37211,7,14,7,100
"409 BROADWAY",37203,0,7,7,NA
"410 REP JOHN LEWIS WAY S",37203,0,7,7,NA
"440 3RD AVE N",37201,0,7,7,NA
"500 REP JOHN LEWIS WAY N",37219,0,7,7,NA
"5050 BLUE HOLE RD",37013,0,7,7,NA
"5400 OLD HICKORY BLVD",37076,3,10,7,233
"6001 OLD HICKORY BLVD",37076,10,17,7,70
"631 MURFREESBORO PIKE",37210,1,8,7,700
"704 BRENTWOOD PL",37211,0,7,7,NA
"710 STEWARTS FERRY PIKE",37214,1,8,7,700
"9 HERMITAGE AVE",37210,3,10,7,233
"10 PUBLIC SQ",37201,0,6,6,NA
"100 NORTHCREEK BLVD",37072,5,11,6,120
"1000 BROADWAY",37203,0,6,6,NA
"1012 GALLATIN PIKE S",37115,3,9,6,200
"1084 MURFREESBORO PIKE",37217,1,7,6,600
"110 JO JOHNSTON AVE",37201,0,6,6,NA
"1111 BROADWAY",37203,4,10,6,150
"1117 12TH AVE S",37212,0,6,6,NA
"1150 HUNTERS LN",37207,5,11,6,120
"122 DONELSONWOOD DR",37214,1,7,6,600
"1277 ANTIOCH PIKE",37211,0,6,6,NA
"1298 DICKERSON PIKE S",37207,0,6,6,NA
"1324 11TH AVE S",37203,0,6,6,NA
"1613 BUCHANAN ST",37208,5,11,6,120
"185 ANTHES DR",37210,1,7,6,600
"199 ANTHES DR",37210,0,6,6,NA
"2027 ED TEMPLE BLVD",37208,5,11,6,120
"2030 25TH AVE N",37208,1,7,6,600
"204 CHARLES E DAVIS BLVD",37210,0,6,6,NA
"206 3RD AVE S",37201,0,6,6,NA
"2101 GALLATIN PIKE N",37115,2,8,6,300
"2114 BURNS ST",37216,0,6,6,NA
"220 CAPITOL VIEW AVE",37207,0,6,6,NA
"221 WILEY ST",37115,0,6,6,NA
"2258 LEBANON PIKE",37214,2,8,6,300
"2312 BRICK CHURCH PIKE",37207,0,6,6,NA
"2406 ELM HILL PIKE",37214,1,7,6,600
"2410 CHARLOTTE AVE",37203,1,7,6,600
"243 LONG HOLLOW PIKE",37072,0,6,6,NA
"2514 JEFFERSON ST",37208,1,7,6,600
"255 OLD HICKORY BLVD",37221,12,18,6,50
"2611 CLARKSVILLE PIKE",37208,0,6,6,NA
"2622 MURFREESBORO PIKE",37217,1,7,6,600
"2705 DICKERSON PIKE",37207,1,7,6,600
"272 LARGO DR",37211,0,6,6,NA
"276 WHITE BRIDGE PIKE",37209,3,9,6,200
"2813 DICKERSON PIKE",37207,0,6,6,NA
"3041 DICKERSON PIKE",37207,1,7,6,600
"3144 DICKERSON PIKE",37207,3,9,6,200
"318 HARDING PL",37211,0,6,6,NA
"333 NORTHCREEK BLVD",37072,2,8,6,300
"335 FOREST PARK RD",37115,19,25,6,32
"3431 PERCY PRIEST DR",37214,2,8,6,300
"3562 PIN HOOK RD",37013,5,11,6,120
"365 WHITE BRIDGE PIKE",37209,0,6,6,NA
"3868 CENTRAL PIKE",37205,0,6,6,NA
"3940 APACHE TRL",37013,1,7,6,600
"400 E NOCTURNE DR",37207,5,11,6,120
"4099 NOLENSVILLE PIKE",37211,0,6,6,NA
"420 ROCKWOOD DR",37076,3,9,6,200
"4912 SHASTA DR",37211,0,6,6,NA
"521 SUMMER PL",37206,0,6,6,NA
"524 MURFREESBORO PIKE",37210,1,7,6,600
"5430 OLD HICKORY BLVD",37076,4,10,6,150
"5615 CHARLOTTE PIKE",37209,1,7,6,600
"577 DONELSON PIKE",37214,6,12,6,100
"5771 NOLENSVILLE PIKE",37211,0,6,6,NA
"583 DONELSON PIKE",37214,2,8,6,300
"590 DONELSON PIKE",37214,1,7,6,600
"61 EAST THOMPSON LN",37211,6,12,6,100
"610 GALLATIN PIKE S",37115,1,7,6,600
"701 YOWELL AVE",37115,0,6,6,NA
"708 DEMONBREUN ST",37203,0,6,6,NA
"727 MCGAVOCK PIKE",37214,5,11,6,120
"7441 HIGHWAY 70 S",37221,0,6,6,NA
"809 WREN RD",37072,4,10,6,150
"816 MURFREESBORO PIKE",37217,1,7,6,600
"82 LAFAYETTE ST",37210,1,7,6,600
"825 DICKERSON PIKE S",37072,1,7,6,600
"825 MURFREESBORO PIKE",37217,0,6,6,NA
"900 DICKERSON PIKE",37207,0,6,6,NA
"904 26TH AVE N",37208,1,7,6,600
"LEWIS ST & PERKINS ST",37210,0,6,6,NA
"NOLENSVILLE PIKE & THOMPSON LN",37211,0,6,6,NA
"100 ANTIOCH PIKE",37211,4,9,5,125
"101 FACTORY ST",37210,0,5,5,NA
"101 FOOTHILL CT",37217,2,7,5,250
"1040 N DUPONT AVE",37115,1,6,5,500
"106 GALLATIN PIKE N",37115,2,7,5,250
"1081 MURFREESBORO PIKE",37217,2,7,5,250
"110 NORTHGATE DR",37072,7,12,5,71
"1104 ROSA L PARKS BLVD",37208,3,8,5,167
"116 CHARLES E DAVIS BLVD",37210,0,5,5,NA
"120 ROCK ST",37207,0,5,5,NA
"1252 FOSTER AVE",37210,0,5,5,NA
"12848 OLD HICKORY BLVD",37204,0,5,5,NA
"1308 S HAMPTON CT",37013,0,5,5,NA
"1312 MARTIN ST",37203,0,5,5,NA
"138 CHARLES E DAVIS BLVD",37210,0,5,5,NA
"1414 PRINCETON PL",37076,5,10,5,100
"1415 PRINCETON PL",37076,0,5,5,NA
"1416 23RD AVE N",37208,0,5,5,NA
"1429 12TH AVE S",37203,1,6,5,500
"1446 ARDEE AVE",37216,0,5,5,NA
"146 GREEN ST",37210,1,6,5,500
"1500 12TH AVE S",37203,0,5,5,NA
"1500 ROBINSON RD",37138,1,6,5,500
"1507 21ST AVE S",37232,0,5,5,NA
"151 1ST AVE S",37201,0,5,5,NA
"151 BRITISH WOODS DR",37217,0,5,5,NA
"158 CHARLES E DAVIS BLVD",37210,1,6,5,500
"1717 10TH AVE N",37208,0,5,5,NA
"1801 GALLATIN PIKE N",37115,2,7,5,250
"1809 ANTIOCH PIKE",37013,0,5,5,NA
"1911 DIVISION ST",37203,0,5,5,NA
"1ST AVE N & BROADWAY",37201,0,5,5,NA
"200 NESBITT LN",37115,7,12,5,71
"2000 ALBION ST",37208,0,5,5,NA
"2003 GALLATIN PIKE N",37115,0,5,5,NA
"2021 BROADWAY",37203,0,5,5,NA
"2021 GALLATIN PIKE N",37115,1,6,5,500
"207 MCARTHUR DR",37115,0,5,5,NA
"211 BROADWAY",37201,0,5,5,NA
"212 BROADWAY",37201,0,5,5,NA
"2300 OLD MATTHEWS RD",37207,0,5,5,NA
"2340 ELM HILL PIKE",37214,1,6,5,500
"2403 LEBANON PIKE",37214,1,6,5,500
"26 GREEN ST",37210,0,5,5,NA
"2611 8TH AVE S",37204,0,5,5,NA
"269 WHITE BRIDGE PIKE",37209,0,5,5,NA
"2727 MCGAVOCK PIKE",37214,2,7,5,250
"2804 WEST END AVE",37203,0,5,5,NA
"2811 JOHN A MERRITT BLVD",37209,0,5,5,NA
"2ND AVE N & BROADWAY",37201,0,5,5,NA
"2ND AVE N / BROADWAY",37201,0,5,5,NA
"300 12TH AVE S",37203,0,5,5,NA
"3002 CLIFTON AVE",37209,0,5,5,NA
"302 DUPONT AVE",37115,2,7,5,250
"3051 FRANKLIN PIKE",37204,0,5,5,NA
"307 GLENGARRY DR",37217,3,8,5,167
"3150 MCGAVOCK PIKE",37212,0,5,5,NA
"321 WALTON LN",37115,2,7,5,250
"3227 BRIARWICK DR",37218,2,7,5,250
"326 HARDING PL",37211,0,5,5,NA
"330 PENNINGTON CENTRE BLVD",37214,0,5,5,NA
"333 COMMERCE ST",37219,0,5,5,NA
"353 MURFREESBORO PIKE",37210,0,5,5,NA
"3696 BELL RD",37214,3,8,5,167
"3900 LEBANON PIKE",37076,5,10,5,100
"391 WALLACE RD",37211,4,9,5,125
"4001 CENTRAL PIKE",37076,2,7,5,250
"4021 NOLENSVILLE PIKE",37211,0,5,5,NA
"408 2ND AVE N",37203,0,5,5,NA
"4100 CENTRAL PIKE",37076,2,7,5,250
"420 BROADWAY",37203,2,7,5,250
"4211 CHARLOTTE AVE",37209,0,5,5,NA
"518 DONELSON PIKE",37214,1,6,5,500
"5242 EDMONDSON PIKE",37211,3,8,5,167
"526 MURFREESBORO PIKE",37210,1,6,5,500
"531 DONELSON PIKE",37214,2,7,5,250
"555 DONELSON PIKE",37214,0,5,5,NA
"601 GALLATIN PIKE N",37115,1,6,5,500
"601 KOREAN VETERANS BLVD",37203,7,12,5,71
"601 PRESIDENT RONALD REAGAN WAY",37210,0,5,5,NA
"6353 N NEW HOPE RD",37076,2,7,5,250
"6700 CABOT DR",37209,4,9,5,125
"6955 CHARLOTTE PIKE",37209,0,5,5,NA
"700 DEW ST",37206,0,5,5,NA
"7000 HARRIS HILLS LN",37013,0,5,5,NA
"701 GALLATIN PIKE S",37115,0,5,5,NA
"7113 CHARLOTTE PIKE",37209,0,5,5,NA
"714 MAYLENE DR",37115,2,7,5,250
"721 27TH AVE N",37208,0,5,5,NA
"7419 STACY DR",37221,0,5,5,NA
"7439 HIGHWAY 70 S",37221,3,8,5,167
"749 DUE WEST AVE N",37115,0,5,5,NA
"8 UNIVERSITY CT",37210,0,5,5,NA
"800 MONROE ST",37208,15,20,5,33
"8001 HIGHWAY 70 S",37221,1,6,5,500
"803 DICKERSON PIKE",37207,1,6,5,500
"808 WREN RD",37072,3,8,5,167
"816 17TH AVE N",37203,0,5,5,NA
"822 REP JOHN LEWIS WAY S",37203,0,5,5,NA
"981 MURFREESBORO PIKE",37217,5,10,5,100
"985 MURFREESBORO PIKE",37217,2,7,5,250
"INTERSTATE DR / HOWERTON ST",37213,0,5,5,NA
"LAFAYETTE ST & FAIRFIELD AVE",37210,0,5,5,NA
"LINCOLN ST & LAFAYETTE ST",37210,0,5,5,NA
"REP JOHN LEWIS WAY S & DEMONBREUN ST",37203,0,5,5,NA
"1000 THOMPSON PL",37217,2,6,4,200
"1003 THOMPSON PL",37217,0,4,4,NA
"1004 BETTIE DR",37138,1,5,4,400
"1009 MURFREESBORO PIKE",37217,0,4,4,NA
"101 POLK AVE",37210,1,5,4,400
"1015 BELL RD",37013,0,4,4,NA
"105 3RD AVE S",37201,4,8,4,100
"105 LONG HOLLOW PIKE",37072,1,5,4,400
"1051 MURFREESBORO PIKE",37217,0,4,4,NA
"109 ARCHWOOD PL",37115,0,4,4,NA
"110 HARRIS ST",37072,4,8,4,100
"1100 AIRPORT CENTER DR",37214,1,5,4,400
"1101 GALLATIN AVE",37206,0,4,4,NA
"1111 WAGGONER CT W",37214,0,4,4,NA
"1118 DICKERSON PIKE",37207,0,4,4,NA
"112 GIBSON DR",37115,4,8,4,100
"1125 4TH AVE S",37203,0,4,4,NA
"113 NEWELL AVE",37138,0,4,4,NA
"114 NEWELL AVE",37138,0,4,4,NA
"114 W TRINITY LN",37207,0,4,4,NA
"117 CHARLES E DAVIS BLVD",37210,0,4,4,NA
"1200 HICKORY HOLLOW TER",37013,0,4,4,NA
"1214 PHILLIPS ST",37208,0,4,4,NA
"1219 KENMORE PL",37216,0,4,4,NA
"122 3RD AVE S",37201,0,4,4,NA
"1220 8TH AVE S",37203,0,4,4,NA
"1224 AVONDALE CIR",37207,0,4,4,NA
"123 NORTHCREEK BLVD",37072,5,9,4,80
"1231 DICKERSON PIKE S",37072,0,4,4,NA
"127 3RD AVE S",37201,0,4,4,NA
"1271 ANTIOCH PIKE",37211,10,14,4,40
"1338 BRICK CHURCH PIKE",37207,2,6,4,200
"138 RAINS AVE",37203,1,5,4,400
"140 BLANTON AVE",37210,0,4,4,NA
"1401 CHARLOTTE AVE",37203,2,6,4,200
"1429 JACKSON ST",37208,0,4,4,NA
"1430 BELL RD",37211,0,4,4,NA
"1490 COUNTY HOSPITAL RD",37218,0,4,4,NA
"1500 CHARLOTTE AVE",37203,0,4,4,NA
"1501 HERMAN ST",37208,0,4,4,NA
"1510 JONES AVE",37207,1,5,4,400
"1516 HAMPTON ST",37207,10,14,4,40
"1520 HAMPTON ST",37207,2,6,4,200
"160 BNA PARK DR",37214,0,4,4,NA
"1617 LEBANON PIKE",37210,1,5,4,400
"1622 14TH AVE N",37208,1,5,4,400
"1702 WEST END AVE",37203,0,4,4,NA
"1717 HOBSON PIKE",37013,0,4,4,NA
"1779 GALLATIN PIKE N",37115,2,6,4,200
"180 MCCALL ST",37211,0,4,4,NA
"2001 8TH AVE S",37204,2,6,4,200
"201 CROSSINGS PL",37013,3,7,4,133
"211 MORTON AVE",37211,0,4,4,NA
"2113 BURNS ST",37216,0,4,4,NA
"2116 HOBBS RD",37215,0,4,4,NA
"2127 CENTURY FARMS PKWY",37013,0,4,4,NA
"2201 21ST AVE S",37212,1,5,4,400
"222 REP JOHN LEWIS WAY S",37203,0,4,4,NA
"2301 MURFREESBORO PIKE",37013,1,5,4,400
"2345 ATRIUM WAY",37214,10,14,4,40
"2400 26TH AVE N",37208,0,4,4,NA
"2400 DICKERSON PIKE",37207,0,4,4,NA
"2420 MUSIC VALLEY DR",37214,8,12,4,50
"2435 ATRIUM WAY",37214,6,10,4,67
"2470 26TH AVE N",37208,0,4,4,NA
"2511 ELM HILL PIKE",37214,4,8,4,100
"252 LONG HOLLOW PIKE",37072,0,4,4,NA
"2547 26TH AVE N",37208,0,4,4,NA
"2601 MURFREESBORO PIKE",37013,0,4,4,NA
"2607 JEFFERSON ST",37208,1,5,4,400
"2634 MURFREESBORO PIKE",37217,1,5,4,400
"2700 WEST END AVE",37203,0,4,4,NA
"2801 TUCKER RD",37218,0,4,4,NA
"2819 NOLENSVILLE PIKE",37211,3,7,4,133
"2907 DICKERSON PIKE",37207,1,5,4,400
"2930 DICKERSON PIKE",37207,0,4,4,NA
"2945 BRICK CHURCH PIKE",37207,0,4,4,NA
"300 BROADWAY",37219,4,8,4,100
"306 PHILFRE CT",37217,0,4,4,NA
"310 4TH AVE S",37201,2,6,4,200
"3100 JUSTIN TOWNE CT",37013,3,7,4,133
"311 RURAL HILL CT",37217,0,4,4,NA
"3181 STONEYBROOK CIR",37013,0,4,4,NA
"320 JOYNER AVE",37211,4,8,4,100
"320 WELCH RD",37211,8,12,4,50
"321 ELM ST",37115,0,4,4,NA
"323 CARTWRIGHT ST",37072,19,23,4,21
"324 FOREST PARK RD",37115,0,4,4,NA
"3258 BLACKWOOD DR",37214,0,4,4,NA
"327 HAYWOOD LN",37211,1,5,4,400
"3301 CREEKWOOD DR",37207,9,13,4,44
"3307 BRICK CHURCH PIKE",37207,0,4,4,NA
"331 HARDING PL",37211,5,9,4,80
"3341 WHITES CREEK PIKE",37189,0,4,4,NA
"340 HARDING PL",37211,10,14,4,40
"3402 ALAMEDA ST",37209,0,4,4,NA
"3407 CLIFTON AVE",37209,0,4,4,NA
"342 VALERIA ST",37210,0,4,4,NA
"3451 DICKERSON PIKE",37207,0,4,4,NA
"3501 BROOKWAY DR",37207,0,4,4,NA
"3504 JOHN A MERRITT BLVD",37208,0,4,4,NA
"3529 RAINWOOD DR",37207,0,4,4,NA
"36 FAIRFIELD AVE",37210,0,4,4,NA
"3650 TROUSDALE DR",37204,0,4,4,NA
"37 LEWIS ST",37210,0,4,4,NA
"3767 NOLENSVILLE PIKE",37211,0,4,4,NA
"3777 NOLENSVILLE PIKE",37211,0,4,4,NA
"3851 CLARKSVILLE PIKE",37218,1,5,4,400
"3880 PRIEST LAKE DR",37217,1,5,4,400
"3901 CENTRAL PIKE",37076,1,5,4,400
"3955 NOLENSVILLE PIKE",37211,1,5,4,400
"401 UNION ST",NA,0,4,4,NA
"4031 ANDREW JACKSON PKWY",37076,0,4,4,NA
"405 S 4TH ST",37206,0,4,4,NA
"406 11TH AVE N",37203,0,4,4,NA
"411 36TH AVE N",37209,0,4,4,NA
"412 METROPLEX DR",37211,0,4,4,NA
"416 MURFREESBORO PIKE",37210,0,4,4,NA
"4161 DODSON CHAPEL RD",37076,2,6,4,200
"4201 NOLENSVILLE PIKE",37211,3,7,4,133
"422 SHELBY AVE",37213,0,4,4,NA
"4243 HARDING PIKE",37205,0,4,4,NA
"4323 SIDCO DR",37204,1,5,4,400
"4670 LEBANON PIKE",37076,0,4,4,NA
"4671 TROUSDALE DR",37204,0,4,4,NA
"4701 LEBANON PIKE",37076,3,7,4,133
"4960 EDMONDSON PIKE",37211,2,6,4,200
"4TH AVE N & DR MARTIN L KING JR BLVD",37219,0,4,4,NA
"500 REP JOHN LEWIS WAY S",37203,0,4,4,NA
"5000 MOUNTAIN SPRINGS RD",37013,7,11,4,57
"501 CUMBERLAND AVE",37115,0,4,4,NA
"510 BRIDGEWAY AVE",37138,0,4,4,NA
"510 SUMMER PL",37206,0,4,4,NA
"522 NORTON AVE",37207,0,4,4,NA
"534 S 6TH ST",37206,0,4,4,NA
"5600 CHARLOTTE PIKE",37209,4,8,4,100
"595 HICKS RD",37221,5,9,4,80
"600 BROADWAY",37203,0,4,4,NA
"601 LISCHEY AVE",37207,0,4,4,NA
"608 GALLATIN PIKE N",37115,0,4,4,NA
"631 DICKERSON PIKE",37207,2,6,4,200
"639 S 7TH ST",37206,0,4,4,NA
"641 MAINSTREAM DR",37228,0,4,4,NA
"648 THOMPSON LN",37217,0,4,4,NA
"7002 CHARLOTTE PIKE",37209,5,9,4,80
"701 40TH AVE N",37209,0,4,4,NA
"712 MAIN ST",37206,2,6,4,200
"714 STEWARTS FERRY PIKE",37214,4,8,4,100
"721 25TH AVE N",37208,0,4,4,NA
"7250 WHITES CREEK PIKE",37080,1,5,4,400
"7601 HIGHWAY 70 S",37221,2,6,4,200
"780 BERRY RD",37204,0,4,4,NA
"790 OLD HICKORY BLVD",37027,0,4,4,NA
"816 S 6TH ST",37206,0,4,4,NA
"816 TAYLOR ST",37208,0,4,4,NA
"8200 MCCRORY LN",37221,0,4,4,NA
"822 MURFREESBORO PIKE",37217,5,9,4,80
"8224 GORDON LN",37076,0,4,4,NA
"825 ELM HILL PIKE",37210,0,4,4,NA
"835 4TH AVE S",37210,0,4,4,NA
"901 BLANK ST",37208,0,4,4,NA
"901 DICKERSON PIKE S",37072,2,6,4,200
"920 BROADWAY",37203,1,5,4,400
"930 RIVERGATE PKWY",37115,1,5,4,400
"939 16TH AVE N",37208,0,4,4,NA
"942 16TH AVE N",37208,0,4,4,NA
"98 RANDY RD",37115,1,5,4,400
"99 SPRING ST",37213,9,13,4,44
"ASH ST / EWING AVE",37203,0,4,4,NA
"BROADWAY / REP JOHN LEWIS WAY N",37203,0,4,4,NA
"KOREAN VETERANS BLVD / 6TH AVE S",37203,0,4,4,NA
"LEWIS ST & LAFAYETTE ST",37210,0,4,4,NA
"PERKINS ST & LEWIS ST",37210,0,4,4,NA
"SHELBY ST BRIDGE W",37201,0,4,4,NA
"WEDGEWOOD AVE & 8TH AVE S",37203,0,4,4,NA
"100 1ST AVE S",37201,4,7,3,75
"100 BROADWAY",37201,3,6,3,100
"100 DEMONBREUN ST",37201,0,3,3,NA
"1002 44TH AVE N",37209,0,3,3,NA
"1010 DR MARTIN L KING JR BLVD",37203,0,3,3,NA
"1017 EDGEHILL AVE",37203,0,3,3,NA
"102 1ST AVE S",37201,0,3,3,NA
"1024 SADDLESTONE DR",37076,0,3,3,NA
