"Address","total_calls","first_call","last_call","Zip","median_age"
"2131 ELM HILL PIKE",21,2021-02-09,2025-08-11,37210,32
"221 BROADWAY",21,2021-03-28,2025-12-28,37201,40
"7475 COCKRILL BEND BLVD",21,2021-05-09,2025-09-23,37209,34.5
"831 GLASTONBURY RD",21,2021-04-27,2025-12-07,37217,40.5
"5768 OLD HICKORY BLVD",20,2021-01-07,2021-12-04,37076,33
"800 MONROE ST",20,2021-03-18,2025-03-17,37208,35.5
"893 MURFREESBORO PIKE",20,2021-03-20,2025-12-20,37217,45
"1621 BELL RD",19,2021-01-09,2025-08-19,37013,47
"227 SHELBY AVE",19,2021-03-27,2025-12-07,37213,34
"3430 PERCY PRIEST DR",19,2021-03-28,2025-06-30,37214,34.5
"850 RICHARDS RD",19,2021-04-22,2025-08-28,37013,27
"930 INDUSTRIAL DR",19,2021-04-11,2025-08-08,37138,65
"111 N 1ST ST",18,2021-03-18,2022-12-31,37213,44
"255 OLD HICKORY BLVD",18,2021-04-03,2025-11-23,37221,41
"3110 NOLENSVILLE PIKE",18,2021-03-24,2025-12-17,37211,50.5
"717 SPENCE LN",18,2021-08-23,2025-12-24,37217,34
"8283 RIVER ROAD PIKE",18,2021-02-23,2025-09-05,37209,37
"84 LESTER AVE",18,2021-04-11,2025-06-29,37210,55
"1400 EAGLE VIEW BLVD",17,2021-01-07,2025-03-21,37013,27
"180 ANTHES DR",17,2021-10-08,2025-05-17,37210,33
"1801 DICKERSON PIKE",17,2021-03-25,2024-10-27,37207,56.5
"3230 BRICK CHURCH PIKE",17,2022-01-04,2025-03-02,37207,52
"3910 CENTRAL PIKE",17,2021-02-01,2025-10-11,37076,36
"4144 LEBANON PIKE",17,2021-03-03,2025-12-04,37076,41
"4271 SIDCO DR",17,2021-02-24,2025-03-23,37204,32.5
"5001 LINBAR DR",17,2021-03-30,2025-10-03,37211,39
"6001 OLD HICKORY BLVD",17,2021-03-19,2025-09-30,37076,30
"701 STEWARTS FERRY PIKE",17,2021-02-06,2025-12-16,37214,42.5
"7102 CHARLOTTE PIKE",17,2021-03-06,2025-03-30,37209,45
"118 EMMITT AVE",16,2021-04-01,2025-08-14,37115,30
"1400 BRICK CHURCH PIKE",16,2021-02-06,2025-08-19,37207,32
"1900 HOBSON PIKE",16,2022-02-15,2025-10-06,37013,15.5
"2400 BUENA VISTA PIKE",16,2021-02-03,2025-07-05,37218,32
"2800 OPRYLAND DR",16,2021-05-04,2025-11-25,37214,31.5
"2905 DICKERSON PIKE",16,2021-02-04,2025-04-03,37207,34
"3035 HAMILTON CHURCH RD",16,2021-02-21,2025-05-05,37013,38
"3258 BRICK CHURCH PIKE",16,2021-02-20,2025-08-28,37207,36
"355 E CEDAR ST",16,2021-01-11,2025-12-03,37072,32.5
"370 WALLACE RD",16,2021-04-15,2025-08-20,37211,41
"511 S 8TH ST",16,2021-07-27,2025-12-12,37206,42
"60 LESTER AVE",16,2021-02-28,2025-09-27,37210,52.5
"10 FAIRFIELD AVE",15,2022-08-13,2025-12-27,37210,36
"1090 MURFREESBORO PIKE",15,2021-02-23,2025-10-13,37217,38
"1310 CORELAND DR",15,2021-04-27,2025-08-31,37115,58
"5119 HARDING PL",15,2024-03-09,2025-09-19,37211,28
"515 METROPLEX DR",15,2021-01-26,2025-10-22,37211,33
"615 CHURCH ST",15,2021-07-23,2025-06-01,37219,35
"625 BENTON AVE",15,2021-07-26,2025-10-08,37204,53
"977 AIRPORT SERVICE RD",15,2021-03-13,2022-11-23,37214,30
"1000 RIVERGATE PKWY",14,2021-03-31,2025-01-05,37115,34
"105 BONNABROOK DR",14,2021-05-12,2024-05-31,37076,34
"1271 ANTIOCH PIKE",14,2021-03-24,2025-12-22,37211,41.5
"1309 MURFREESBORO PIKE",14,2021-07-27,2025-11-08,37217,43
"150 W TRINITY LN",14,2021-01-30,2025-12-20,37207,45.5
"1516 HAMPTON ST",14,2021-05-07,2026-01-03,37207,41
"1804 GALLATIN PIKE N",14,2022-01-01,2024-10-06,37115,36.5
"2112 CHARLOTTE AVE",14,2021-03-16,2025-10-02,37203,40.5
"217 LARGO DR",14,2021-11-14,2024-10-01,37211,35.5
"2212 NOLENSVILLE PIKE",14,2021-03-23,2024-08-30,37210,33
"2284 MURFREESBORO PIKE",14,2021-03-28,2025-10-14,37217,31
"2345 ATRIUM WAY",14,2021-01-25,2024-09-15,37214,32
"2350 ELM HILL PIKE",14,2021-04-02,2025-08-08,37214,34
"2425 ATRIUM WAY",14,2021-01-08,2025-08-15,37214,35
"2801 JOHN A MERRITT BLVD",14,2021-06-22,2025-11-18,37209,42.5
"340 HARDING PL",14,2021-02-13,2025-12-27,37211,34
"3437 PERCY PRIEST DR",14,2021-02-12,2025-03-17,37214,35.5
"3445 PERCY PRIEST DR",14,2021-01-05,2025-12-07,37214,40
"4041 NOLENSVILLE PIKE",14,2021-05-20,2025-04-24,37211,42.5
"701 DICKERSON PIKE",14,2021-04-16,2026-01-02,37207,43
"710 MURFREESBORO PIKE",14,2021-04-21,2025-08-20,37210,36
"7575 COCKRILL BEND BLVD",14,2021-02-01,2025-02-11,37209,36
"210 32ND ST",13,2021-05-04,2024-06-24,37138,40
"234 W TRINITY LN",13,2021-02-06,2025-02-14,37207,35
"3301 CREEKWOOD DR",13,2021-03-20,2025-10-28,37207,28
"3312 DICKERSON PIKE",13,2021-07-03,2025-05-27,37207,39
"3711 DICKERSON PIKE",13,2021-09-30,2025-07-02,37115,34
"3939 APACHE TRL",13,2021-09-15,2025-08-07,37013,26.5
"3991 DICKERSON PIKE",13,2021-06-02,2024-08-15,37207,40
"4311 SIDCO DR",13,2021-04-17,2025-09-25,37204,33.5
"99 SPRING ST",13,2021-01-03,2025-08-26,37213,27.5
"SHELBY ST PEDESTRIAN BRIDGE",13,2021-09-17,2025-11-26,37201,34
"110 NORTHGATE DR",12,2021-11-04,2025-12-05,37072,40
"122 LIBERTY LN",12,2021-01-31,2025-05-30,37115,38
"127 4TH AVE S",12,2021-04-09,2025-05-22,37203,37
"1310 ELLISTON ST",12,2021-04-10,2025-09-19,37138,35.5
"1745 DR D B TODD JR BLVD",12,2021-03-30,2025-12-13,37208,45
"200 NESBITT LN",12,2021-05-01,2022-09-13,37115,36
"2050 GALLATIN PIKE N",12,2021-03-16,2025-10-22,37115,42.5
"2410 MUSIC VALLEY DR",12,2021-04-09,2025-09-08,37214,43
"2420 MUSIC VALLEY DR",12,2021-02-20,2025-02-19,37214,28.5
"250 REP JOHN LEWIS WAY S",12,2021-05-22,2025-12-14,37203,35
"2514 NOLENSVILLE PIKE",12,2021-03-17,2025-10-08,37210,44
"2940 DICKERSON PIKE",12,2024-02-03,2025-12-12,37207,63
"300 BAKERTOWN RD",12,2021-04-01,2024-10-14,37013,30.5
"320 WELCH RD",12,2021-01-14,2022-07-24,37211,30
"3414 PERCY PRIEST DR",12,2021-01-06,2025-04-04,37214,35
"3930 CREEKSIDE DR",12,2021-07-29,2025-03-28,37211,39
"400 BROADWAY",12,2021-06-20,2025-03-24,37203,26.5
"500 HILLSIDE CT",12,2022-07-24,2025-10-06,37228,40
"500 MAIN ST",12,2021-07-05,2025-06-11,37206,36
"5055 BROADWAY PL",12,2022-02-21,2025-08-02,37203,25.5
"5272 CANE RIDGE RD",12,2021-05-25,2025-09-20,37013,44
"577 DONELSON PIKE",12,2021-06-01,2025-06-29,37214,37
"601 KOREAN VETERANS BLVD",12,2021-04-29,2025-04-05,37203,34
"61 EAST THOMPSON LN",12,2021-05-09,2024-09-28,37211,37
"721 DUE WEST AVE N",12,2021-05-14,2025-01-18,37115,31
"727 BELL RD",12,2021-05-25,2025-10-07,37013,24.5
"808 LEA AVE",12,2021-10-07,2025-01-17,37203,44
"821 MURFREESBORO PIKE",12,2021-03-09,2025-05-24,37217,40
"938 CANNON ST",12,2021-05-19,2024-08-28,37210,25.5
"100 NORTHCREEK BLVD",11,2021-02-04,2025-03-29,37072,35
"101 GALLATIN PIKE N",11,2021-02-25,2025-04-12,37115,40.5
"1101 BROADWAY",11,2021-01-06,2024-10-04,37203,43
"1150 HUNTERS LN",11,2022-01-14,2025-04-22,37207,16
"1205 ROBINSON RD",11,2021-02-01,2025-04-17,37138,64
"1613 BUCHANAN ST",11,2021-05-13,2025-03-22,37208,42
"1755 DR D B TODD JR BLVD",11,2021-06-01,2025-07-03,37208,37.5
"2025 ROSA L PARKS BLVD",11,2021-01-24,2025-06-16,37228,31
"2027 ED TEMPLE BLVD",11,2021-02-03,2025-10-21,37208,37
"270 TAMPA DR",11,2021-01-26,2024-05-24,37211,33.5
"3056 DICKERSON PIKE",11,2021-10-18,2025-09-25,37207,33.5
"310 1ST AVE S",11,2021-08-03,2025-09-23,37201,41
"3470 LEBANON PIKE",11,2021-04-25,2022-09-17,37076,39
"3562 PIN HOOK RD",11,2021-03-17,2025-09-12,37013,31.5
"3930 CLARKSVILLE PIKE",11,2021-03-07,2025-11-03,37218,43
"400 E NOCTURNE DR",11,2021-01-09,2025-01-07,37207,31.5
"4328 HOPEWOOD DR",11,2021-03-05,2022-12-02,37211,27
"5000 MOUNTAIN SPRINGS RD",11,2021-09-27,2025-06-11,37013,26.5
"5636 OLD HICKORY BLVD",11,2021-01-22,2022-12-17,37076,34
"611 COMMERCE ST",11,2021-02-20,2025-07-19,37203,27
"6418 CENTENNIAL BLVD",11,2021-06-23,2025-02-13,37209,31
"727 MCGAVOCK PIKE",11,2021-07-13,2024-12-17,37214,36
"750 RIVERGATE PKWY",11,2021-04-15,2025-10-05,37072,44
"819 GALLATIN PIKE S",11,2021-02-22,2025-06-17,37115,36
"929 AIRPORT SERVICE RD",11,2024-01-18,2026-01-03,37214,45
"94 BERKLEY DR",11,2021-12-15,2025-07-15,37115,57
"1007 MURFREESBORO PIKE",10,2021-05-25,2025-09-14,37217,38
"110 MAPLEWOOD TRCE",10,2021-04-11,2025-06-07,37207,32
"1111 BROADWAY",10,2021-05-04,2025-06-24,37203,34
"112 1ST AVE S",10,2021-12-30,2025-08-24,37213,41
"1201 GALLATIN PIKE S",10,2022-02-17,2022-11-07,37115,36
"13011 OLD HICKORY BLVD",10,2021-04-30,2024-11-30,37086,37.5
"1333 DICKERSON PIKE",10,2021-02-22,2025-07-11,37207,49
"135 GALLATIN PIKE S",10,2021-03-20,2025-02-25,37115,40
"1414 PRINCETON PL",10,2021-02-26,2025-09-15,37076,37
"204 LARGO DR",10,2021-06-25,2024-05-31,37203,37.5
"2311 BRICK CHURCH PIKE",10,2021-03-26,2025-08-07,37207,36
"2435 ATRIUM WAY",10,2021-01-17,2025-03-23,37214,35
"2525 ELM HILL PIKE",10,2021-02-01,2025-10-07,37214,26
"301 BROADWAY",10,2021-11-06,2025-08-22,37201,25
"317 MYATT DR",10,2021-03-07,2025-01-25,37115,26.5
"323 HARDING PL",10,2021-02-28,2025-03-19,37211,43.5
"3425 KNIGHT DR",10,2021-04-08,2024-11-11,37189,55.5
"3900 LEBANON PIKE",10,2021-02-25,2025-07-17,37076,31
"3940 BELL RD",10,2021-03-13,2024-08-01,37076,47
"4199 NOLENSVILLE PIKE",10,2021-02-16,2026-01-01,37211,44
"5099 LINBAR DR",10,2021-03-04,2025-06-18,37211,29.5
"5400 OLD HICKORY BLVD",10,2021-01-14,2025-09-19,37076,33
"5430 OLD HICKORY BLVD",10,2021-02-13,2024-06-01,37076,32
"600 WHISPERING HILLS DR",10,2021-02-18,2025-10-18,37211,35
"660 BELL RD",10,2021-02-06,2025-11-24,37013,25
"809 WREN RD",10,2021-02-04,2024-06-12,37072,45.5
"9 HERMITAGE AVE",10,2021-02-03,2025-08-09,37210,35
"917 ONEIDA AVE",10,2021-04-07,2022-07-22,37207,41
"981 MURFREESBORO PIKE",10,2021-02-15,2025-03-31,37217,43
"100 ANTIOCH PIKE",9,2021-03-22,2025-06-11,37211,34
"100 ROBERT CARTWRIGHT DR",9,2021-04-25,2025-12-30,37072,47
"1012 GALLATIN PIKE S",9,2021-05-23,2025-09-23,37115,37.5
"110 3RD AVE S",9,2021-08-25,2025-08-11,37201,30
"1108 MURFREESBORO PIKE",9,2024-05-19,2025-09-28,37217,40
"116 REP JOHN LEWIS WAY N",9,2021-08-20,2025-10-19,37219,35.5
"123 NORTHCREEK BLVD",9,2021-02-03,2024-11-26,37072,35
"132 LAFAYETTE ST",9,2021-03-17,2025-08-03,37210,34
"135 BRINK HAVEN AVE",9,2021-02-11,2025-06-27,37115,48.5
"135 DONELSON PIKE",9,2021-04-09,2025-10-28,37214,32
"1415 DICKERSON PIKE",9,2021-04-06,2025-12-26,37207,49
"1441 LEBANON PIKE",9,2021-06-19,2025-01-16,37210,31
"1519 CHURCH ST",9,2021-06-05,2025-10-19,37203,21
"1705 JENKINS ST",9,2021-10-22,2025-09-13,37208,48
"1909 8TH AVE S",9,2021-03-24,2025-08-29,37203,44.5
"2200 NOLENSVILLE PIKE",9,2021-02-19,2025-02-05,37210,45
"2394 LEBANON PIKE",9,2021-02-10,2025-05-30,37214,39
"2407 BRICK CHURCH PIKE",9,2021-04-02,2024-07-28,37207,33.5
"2500 WEST END AVE",9,2021-08-21,2025-08-27,37203,39
"2521 ELM HILL PIKE",9,2021-02-15,2025-08-21,37214,27
"276 WHITE BRIDGE PIKE",9,2022-01-25,2025-04-18,37209,28
"3043 NOLENSVILLE PIKE",9,2021-04-01,2025-07-16,37211,26.5
"3049 DICKERSON PIKE",9,2021-10-13,2025-04-24,37207,31.5
"308 BROADWAY",9,2021-08-05,2025-05-02,37219,28
"311 RACHEL RD",9,2024-09-30,2025-12-29,37214,66
"3140 HAMILTON CHURCH RD",9,2021-01-25,2025-11-13,37013,36
"3144 DICKERSON PIKE",9,2021-07-15,2025-08-12,37207,34
"315 4TH AVE N",9,2021-02-20,2024-09-01,37219,23
"331 HARDING PL",9,2021-10-02,2025-12-14,37211,39
"3474 DICKERSON PIKE",9,2021-07-24,2025-05-18,37207,28
"391 WALLACE RD",9,2021-08-01,2025-12-25,37211,23
"410 S 5TH ST",9,2024-07-21,2025-08-06,37206,33
"420 ROCKWOOD DR",9,2021-02-14,2021-08-13,37076,31
"425 REP JOHN LEWIS WAY S",9,2021-02-23,2025-12-23,37203,36.5
"5161 RICE RD",9,2021-03-17,2025-11-23,37013,23
"5515 SCRUGGS LN",9,2021-11-20,2024-11-30,37207,28
"5771 OLD HICKORY BLVD",9,2021-04-08,2025-08-20,37076,31
"5824 NOLENSVILLE PIKE",9,2021-03-11,2025-11-13,37211,32
"595 HICKS RD",9,2022-06-21,2025-10-30,37221,30
"6700 CABOT DR",9,2021-02-22,2025-03-19,37209,24
"7002 CHARLOTTE PIKE",9,2021-04-18,2022-11-13,37209,32
"822 MURFREESBORO PIKE",9,2021-12-17,2025-06-27,37217,38
"830 GLASTONBURY RD",9,2021-03-17,2025-12-26,37217,35
"903 FAIRWIN AVE",9,2024-07-23,2025-10-17,37216,43
"906 RIVERGATE PKWY",9,2021-01-19,2024-07-02,37115,37
"1 SYMPHONY PL",8,2021-06-02,2025-05-07,37201,43
"105 3RD AVE S",8,2021-05-09,2024-09-08,37201,46
"1074 MURFREESBORO PIKE",8,2022-01-24,2024-11-19,37217,38.5
"110 HARRIS ST",8,2021-07-07,2024-12-23,37072,41.5
"110 OAK VALLEY DR",8,2021-01-05,2025-05-16,37207,45
"1100 BELL RD",8,2021-05-15,2025-01-20,37013,33.5
"1104 ROSA L PARKS BLVD",8,2021-08-23,2025-08-01,37208,35
"111 4TH AVE S",8,2021-07-02,2025-12-28,37203,37
"112 GIBSON DR",8,2021-02-22,2021-09-23,37115,27
"1316 TULIP GROVE RD",8,2021-01-14,2024-05-22,37076,45
"1501 DEMONBREUN ST",8,2021-07-06,2025-12-25,37203,36
"1504 HAMPTON ST",8,2021-04-07,2022-10-13,37207,36
"1598 CRESTVIEW DR",8,2021-04-24,2025-03-08,37115,33
"18 EAST THOMPSON LN",8,2021-02-19,2024-11-30,37210,35
"1800 JEFFERSON ST",8,2021-07-04,2025-08-21,37208,35
"198 HAYWOOD LN",8,2022-02-24,2024-08-10,37211,33
"200 E WEBSTER ST",8,2021-04-20,2025-09-20,37115,59
"201 8TH AVE S",8,2022-04-30,2025-12-18,37203,27
"201 REP JOHN LEWIS WAY S",8,2021-04-03,2025-03-14,37203,34
"2101 GALLATIN PIKE N",8,2021-06-11,2025-02-26,37115,44
"2258 LEBANON PIKE",8,2021-05-19,2025-12-26,37214,31
"2511 ELM HILL PIKE",8,2022-04-02,2025-03-06,37214,37
"2539 26TH AVE N",8,2024-07-04,2025-04-21,37208,34
"2623 OLD BUENA VISTA RD",8,2021-05-31,2024-05-31,37218,37
"2712 DICKERSON PIKE",8,2021-04-03,2025-04-16,37207,51
"275 CUMBERLAND BND",8,2021-04-20,2025-07-30,37228,55.5
"2827 SMITH SPRINGS RD",8,2021-02-02,2025-05-10,37217,39
"300 BROADWAY",8,2021-05-22,2025-04-19,37219,30
"305 BROADWAY",8,2022-02-09,2025-12-07,37201,29.5
"3053 DICKERSON PIKE",8,2021-04-06,2024-06-26,37207,32
"307 GLENGARRY DR",8,2021-01-23,2025-07-31,37217,35
"309 W TRINITY LN",8,2022-01-07,2025-03-03,37207,37.5
"311 W TRINITY LN",8,2021-11-19,2025-10-02,37207,46
"320 JOYNER AVE",8,2021-05-06,2025-08-10,37211,38.5
"323 FOREST PARK RD",8,2021-01-06,2024-06-20,37115,30
"3328 CALAIS CIR",8,2021-11-08,2022-02-26,37013,34
"333 NORTHCREEK BLVD",8,2021-04-16,2025-08-03,37072,41.5
"3431 PERCY PRIEST DR",8,2021-02-08,2025-12-12,37214,38
"344 BELL RD",8,2021-01-26,2025-08-30,37217,40
"3441 DICKERSON PIKE",8,2021-08-21,2025-01-21,37115,17.5
"3696 BELL RD",8,2021-04-01,2025-09-20,37214,30
"370 CUMBERLAND WAY",8,2024-01-16,2025-08-25,37115,27
"3705 OLD CLARKSVILLE PIKE",8,2021-04-27,2024-12-18,37080,47
"4TH AVE N / BROADWAY",8,2021-09-23,2022-12-04,37203,27
"501 BEN ALLEN RD",8,2021-10-04,2025-05-18,37216,39.5
"504 ELMINGTON AVE",8,2021-09-16,2025-11-29,37205,69
"5242 EDMONDSON PIKE",8,2021-02-02,2026-01-01,37211,25
"525 SHELBY AVE",8,2021-10-01,2025-07-15,37206,69
"5319 MT VIEW RD",8,2021-05-21,2025-09-20,37013,30
"550 HARDING PL",8,2021-04-29,2024-10-21,37211,30
"5544 OLD HICKORY BLVD",8,2021-02-19,2025-08-19,37076,37.5
"5600 CHARLOTTE PIKE",8,2021-03-25,2025-11-07,37209,36
"5646 AMALIE DR",8,2021-11-14,2024-04-11,37211,18
"5705 CHARLOTTE PIKE",8,2021-10-02,2025-07-17,37209,38
"583 DONELSON PIKE",8,2021-02-04,2024-04-07,37214,33
"616 N DUPONT AVE",8,2021-06-27,2025-11-14,37115,50
"630 BELL RD",8,2021-03-13,2024-11-03,37013,33
"631 MURFREESBORO PIKE",8,2021-02-06,2022-11-04,37210,50
"650 WADE CIR",8,2021-01-20,2025-04-09,37072,41.5
"6535 PREMIER DR",8,2021-11-11,2025-02-08,37209,35
"710 STEWARTS FERRY PIKE",8,2021-03-21,2025-12-25,37214,32
"714 DUE WEST AVE N",8,2021-05-28,2025-12-23,37115,25.5
"714 STEWARTS FERRY PIKE",8,2021-03-27,2024-10-31,37214,34
"7439 HIGHWAY 70 S",8,2022-11-08,2025-09-09,37221,34
"7551 OLD HICKORY BLVD",8,2021-04-02,2024-12-21,37189,32
"808 WREN RD",8,2021-04-20,2022-12-23,37072,38.5
"840 GLASTONBURY RD",8,2021-05-04,2022-09-14,37217,34
"919 N 12TH ST",8,2021-02-03,2025-04-27,37206,28.5
"100 1ST AVE S",7,2021-08-26,2024-10-28,37201,48
"1001 MURFREESBORO PIKE",7,2021-09-05,2024-03-11,37217,33.5
"101 FOOTHILL CT",7,2021-02-22,2024-10-16,37217,71
"101 GATEWOOD AVE",7,2021-12-31,2025-08-06,37207,34.5
"1019 PATRICIA DR",7,2021-02-09,2025-11-07,37217,27
"106 GALLATIN PIKE N",7,2021-04-11,2025-10-22,37115,33
"107 4TH AVE N",7,2024-06-01,2025-11-22,37203,32
"1081 MURFREESBORO PIKE",7,2022-06-16,2024-08-20,37217,38.5
"1084 MURFREESBORO PIKE",7,2021-06-13,2025-05-26,37217,43
"1101 EDGEHILL AVE",7,2021-06-06,2025-12-03,37203,58
"1109 MURFREESBORO PIKE",7,2021-06-11,2025-01-05,37217,45
"1195 WEDGEWOOD AVE",7,2022-01-18,2025-09-19,37203,59
"122 DONELSONWOOD DR",7,2021-06-05,2025-10-11,37214,30
"1419 ROSA L PARKS BLVD",7,2022-09-27,2025-04-20,37208,25
"180 WALLACE RD",7,2021-02-10,2024-03-22,37211,28
"1801 GALLATIN PIKE N",7,2021-02-11,2025-05-27,37115,35
"185 ANTHES DR",7,2021-11-14,2024-10-02,37210,42
"201 CROSSINGS PL",7,2021-07-28,2025-11-25,37013,31
"2022 ROSA L PARKS BLVD",7,2021-01-30,2024-08-04,37228,35
"2030 25TH AVE N",7,2022-05-16,2024-10-08,37208,48
"205 DEMONBREUN ST",7,2021-03-07,2025-09-21,37201,27
"2333 ROSA L PARKS BLVD",7,2021-11-23,2024-02-04,37228,26
"238 W TRINITY LN",7,2021-09-15,2022-11-07,37207,38.5
"2406 ELM HILL PIKE",7,2021-03-01,2025-07-17,37214,39
"2410 CHARLOTTE AVE",7,2021-06-19,2024-10-30,37203,35
"2421 POWELL AVE",7,2022-02-26,2025-10-24,37204,38
"2501 FOREST VIEW DR",7,2021-09-03,2025-05-25,37013,32.5
"2514 JEFFERSON ST",7,2024-04-07,2025-12-21,37208,63
"2622 MURFREESBORO PIKE",7,2021-02-06,2022-09-03,37217,31.5
"2705 DICKERSON PIKE",7,2021-08-02,2025-08-27,37207,36.5
"2727 MCGAVOCK PIKE",7,2021-11-13,2025-11-12,37214,33
"2815 LEBANON PIKE",7,2021-08-22,2024-09-24,37214,31
"2819 NOLENSVILLE PIKE",7,2021-03-21,2025-03-11,37211,32.5
"2900 HAMILTON CHURCH RD",7,2021-09-23,2024-11-22,37013,30.5
"300 GREAT CIRCLE RD",7,2022-09-02,2025-07-26,37228,41
"300 KOREAN VETERANS BLVD",7,2021-03-18,2024-11-30,37201,30
"302 DUPONT AVE",7,2021-02-07,2021-04-28,37115,25
"3041 DICKERSON PIKE",7,2021-04-02,2025-04-29,37207,46
"3100 JUSTIN TOWNE CT",7,2021-03-29,2021-06-07,37013,19
"321 WALTON LN",7,2021-12-15,2025-12-16,37115,30
"3227 BRIARWICK DR",7,2021-06-09,2024-07-29,37218,58
"3312 OAK TREES CT",7,2022-09-19,2024-05-15,37013,22
"3703 DICKERSON PIKE",7,2021-07-20,2025-08-02,37207,34
"3709 CHESAPEAKE DR",7,2021-04-08,2022-10-01,37207,58
"3940 APACHE TRL",7,2021-07-24,2025-09-20,37013,31
"4001 CENTRAL PIKE",7,2021-02-10,2024-09-03,37076,34
"409 BROADWAY",7,2021-04-14,2025-04-26,37203,26
"410 REP JOHN LEWIS WAY S",7,2021-08-13,2026-01-01,37203,40.5
"4100 CENTRAL PIKE",7,2021-04-21,2024-11-08,37076,23
"412 BROADWAY",7,2022-01-08,2025-04-30,37203,44.5
"420 BROADWAY",7,2022-06-24,2024-11-15,37203,29
"4201 NOLENSVILLE PIKE",7,2021-08-19,2022-10-31,37211,34
"422 BROADWAY",7,2021-03-14,2024-10-17,37203,33.5
"433 OPRY MILLS DR",7,2021-03-26,2025-03-16,37214,30.5
"440 3RD AVE N",7,2021-04-27,2025-03-14,37201,35
"441 WELSHWOOD DR",7,2021-07-17,2022-08-20,37211,39
