"Address","total_calls","first_call","last_call","Zip","median_age"
"714 DUE WEST AVE N",17,2016-06-15,2025-12-23,37115,27
"727 MCGAVOCK PIKE",17,2016-09-10,2024-12-17,37214,33
"7551 OLD HICKORY BLVD",17,2016-01-03,2024-12-21,37189,32
"765 MCMURRAY DR",17,2016-09-09,2024-11-28,37211,33
"822 MURFREESBORO PIKE",17,2016-08-02,2025-06-27,37217,39
"100 CURTIS HOLLOW RD",16,2016-01-11,2025-12-29,37013,55
"100 NORTHCREEK BLVD",16,2017-03-04,2025-03-29,37072,34.5
"105 BONNABROOK DR",16,2021-05-12,2024-05-31,37076,35
"1120 PALMER AVE",16,2017-07-25,2022-07-05,37115,43
"1201 CHEYENNE BLVD",16,2016-04-06,2023-05-24,37115,69
"1412 BRICK CHURCH PIKE",16,2016-05-12,2019-04-17,37207,29.5
"189 WALLACE RD",16,2017-06-22,2025-08-15,37211,33
"2200 BRICK CHURCH PKE",16,2016-02-22,2021-01-17,37207,37
"221 STEWARTS FERRY PIKE",16,2016-06-27,2025-05-16,37214,36.5
"2394 LEBANON PIKE",16,2017-09-08,2025-05-30,37214,34
"2511 ELM HILL PIKE",16,2017-07-08,2025-03-06,37214,36
"3053 DICKERSON PIKE",16,2016-10-24,2024-06-26,37207,36
"308 BROADWAY",16,2017-02-05,2025-05-02,37219,25.5
"3470 LEBANON PIKE",16,2016-07-29,2023-09-06,37076,36.5
"3910 CENTRAL PKE",16,2016-02-15,2020-10-18,37076,35
"4040 NOLENSVILLE PKE",16,2016-02-03,2020-10-12,37211,28
"4200 MURFREESBORO PIKE",16,2016-11-06,2023-10-20,37013,74
"427 LAFAYETTE ST",16,2016-01-15,2024-08-28,37203,43
"501 BEN ALLEN RD",16,2017-03-11,2025-05-18,37216,39.5
"5101 LINBAR DR",16,2016-07-14,2025-09-01,37211,33
"595 HICKS RD",16,2017-02-09,2025-10-30,37221,27
"61 E THOMPSON LN",16,2016-05-09,2019-06-12,37211,36.5
"650 WADE CIR",16,2017-08-01,2025-04-09,37072,41.5
"819 GALLATIN PIKE S",16,2016-07-27,2025-06-17,37115,36
"938 CANNON ST",16,2021-05-19,2024-08-28,37210,26
"981 MURFREESBORO PIKE",16,2017-08-05,2025-03-31,37217,45
"112 EAGAN CIR",15,2019-04-16,2021-11-01,37115,26
"1501 DEMONBREUN ST",15,2016-01-18,2025-12-25,37203,36.5
"1755 DR D B TODD JR BLVD",15,2018-05-24,2025-07-03,37208,42
"2510 DICKERSON PIKE",15,2016-06-22,2024-01-29,37207,34
"2510 DICKERSON PKE",15,2019-07-10,2020-10-01,37207,34
"2828 OLD HICKORY BLVD",15,2016-04-24,2025-10-26,37221,30
"2900 HAMILTON CHURCH RD",15,2016-05-11,2024-11-22,37013,27.5
"2921 OLD FRANKLIN RD",15,2016-04-24,2025-08-20,37013,36
"2929 SELENA DR",15,2016-08-29,2024-10-27,37211,46
"301 BROADWAY",15,2017-03-18,2025-08-22,37201,25
"3056 DICKERSON PIKE",15,2021-10-18,2025-09-25,37207,33.5
"412 BROADWAY",15,2016-06-04,2025-04-30,37203,32
"420 WELSHWOOD DR",15,2016-03-22,2024-07-29,37211,26
"500 HICKORY HOLLOW TER",15,2016-02-16,2025-10-07,37013,72
"510 HERITAGE DR",15,2016-11-05,2025-05-09,37115,36
"5119 HARDING PL",15,2024-03-09,2025-09-19,37211,28
"525 SHELBY AVE",15,2016-12-03,2025-07-15,37206,66
"5400 OLD HICKORY BLVD",15,2016-11-02,2025-09-19,37076,33
"5600 COUNTRY DR",15,2016-08-20,2025-08-25,37211,26
"5646 AMALIE DR",15,2017-07-05,2024-04-11,37211,21
"5705 CHARLOTTE PIKE",15,2016-12-01,2025-07-17,37209,36
"627 GALLATIN PIKE S",15,2017-08-03,2025-07-07,37115,36
"1007 MURFREESBORO PIKE",14,2017-11-17,2025-09-14,37217,36.5
"1019 PATRICIA DR",14,2017-01-20,2025-11-07,37217,27
"110 3RD AVE S",14,2021-08-25,2025-08-11,37201,31
"1100 BELL RD",14,2016-07-30,2025-01-20,37013,33.5
"1110 BELL RD",14,2017-11-08,2025-03-15,37013,32
"123 NORTHCREEK BLVD",14,2017-07-21,2024-11-26,37072,37
"127 4TH AVE S",14,2018-07-04,2025-05-22,37203,37
"1274 MURFREESBORO PIKE",14,2016-11-06,2024-07-29,37217,42
"1277 ANTIOCH PIKE",14,2021-05-29,2025-05-05,37211,32
"12848 OLD HICKORY BLVD",14,2016-10-12,2025-08-29,37013,16
"15180 OLD HICKORY BLVD",14,2016-07-24,2025-05-05,37211,28
"1800 JEFFERSON ST",14,2019-09-16,2025-08-21,37208,35.5
"1911 RIVERSIDE DR",14,2016-01-25,2022-08-07,37216,53
"201 8TH AVE S",14,2018-11-09,2025-12-18,37203,27
"205 DEMONBREUN ST",14,2018-06-26,2025-09-21,37201,26.5
"2050 GALLATIN PIKE N",14,2019-03-25,2025-10-22,37115,40
"2201 CHILDRENS WAY",14,2016-11-08,2023-07-04,37212,72.5
"2350 ELM HILL PKE",14,2019-10-01,2021-02-01,37214,36
"238 W TRINITY LN",14,2017-08-07,2023-01-08,37207,38.5
"2421 POWELL AVE",14,2016-04-19,2025-10-24,37204,34.5
"2500 WEST END AVE",14,2021-08-21,2025-08-27,37203,35
"275 COMROE RD",14,2019-01-11,2022-07-03,37211,34
"2827 SMITH SPRINGS RD",14,2017-05-01,2025-05-10,37217,37
"2940 DICKERSON PIKE",14,2023-08-03,2025-12-12,37207,62.5
"3140 HAMILTON CHURCH RD",14,2021-01-25,2025-11-13,37013,30
"380 HARDING PL",14,2016-09-09,2024-10-04,37211,27
"391 WALLACE RD",14,2016-03-05,2025-12-25,37211,23
"3930 CREEKSIDE DR",14,2021-07-29,2025-03-28,37211,41
"3939 HILLSBORO CIR",14,2016-04-21,2024-12-10,37215,63
"429 BROADWAY",14,2017-06-17,2025-12-28,37203,31
"431 LARKIN SPRINGS RD",14,2016-06-20,2020-09-19,37115,64
"4601 PACKARD DR",14,2016-07-25,2023-08-03,37211,33
"501 BROADWAY",14,2017-01-01,2025-10-22,37203,28
"5011 RAWLINGS RD",14,2018-02-23,2023-01-19,37080,49
"5055 BROADWAY PL",14,2022-02-21,2025-08-02,37203,25.5
"510 OLD HICKORY BLVD",14,2016-04-06,2025-03-02,37209,27.5
"5242 EDMONDSON PIKE",14,2016-09-12,2026-01-01,37211,33
"5655 FRIST BLVD",14,2017-06-19,2024-09-26,37076,16
"570 MCMURRAY DR",14,2016-11-11,2024-06-16,37211,27
"5756 OLD HICKORY BLVD",14,2016-06-03,2024-10-11,37076,32.5
"600 HERITAGE DR",14,2016-01-01,2024-05-03,37115,32
"7002 CHARLOTTE PIKE",14,2016-05-08,2022-11-13,37209,32
"701 STEWARTS FERRY PKE",14,2016-02-03,2021-01-18,37214,31
"711 GALLATIN AVE",14,2016-01-12,2025-07-28,37206,33
"714 STEWARTS FERRY PIKE",14,2016-11-27,2024-10-31,37214,35.5
"917 ONEIDA AVE",14,2016-04-02,2023-04-21,37207,41
"925 CONFERENCE DR",14,2017-07-29,2025-08-02,37072,31
"10 INTERSTATE DR",13,2016-01-15,2025-09-15,37213,44
"100 ANTIOCH PIKE",13,2016-09-25,2025-06-11,37211,35
"100 W TRINITY LN",13,2016-01-26,2023-01-04,37207,30
"1012 GALLATIN PIKE S",13,2017-09-08,2025-09-23,37115,35
"105 3RD AVE S",13,2017-05-01,2024-09-08,37201,41
"1101 EDGEHILL AVE",13,2016-01-26,2025-12-03,37203,62
"1104 ROSA L PARKS BLVD",13,2018-07-14,2025-08-01,37208,33.5
"112 1ST AVE S",13,2021-12-30,2025-08-24,37213,45
"1205 ROBINSON RD",13,2020-05-21,2025-04-17,37138,65
