"Address","total_calls","first_call","last_call","Zip","median_age"
"4200 MURFREESBORO PIKE",13,2016-11-06,2019-06-02,37013,75
"4806 LINDELL ST",13,2016-08-29,2018-02-28,37216,32
"500 HICKORY HOLLOW TER",13,2016-02-16,2019-06-08,37013,72
"504 ELMINGTON AVE",13,2016-05-09,2019-02-21,37205,79
"6215 CENTENNIAL BLVD",13,2017-06-03,2020-11-04,37209,31
"701 STEWARTS FERRY PKE",13,2016-02-03,2020-10-05,37214,30
"832 WEDGEWOOD AVE",13,2016-02-10,2019-06-28,37203,67
"84 LESTER AV",13,2019-09-25,2020-11-21,37210,58
"104 TOMARAND RD",12,2016-04-02,2020-07-11,37013,36
"1120 PALMER AVE",12,2017-07-25,2019-04-25,37115,43
"115 MARGARET ST",12,2017-10-17,2020-04-04,37115,30
"1412 BRICK CHURCH PKE",12,2016-02-06,2020-11-23,37207,33
"1598 CRESTVIEW DR",12,2016-02-08,2020-08-31,37115,45.5
"198 HAYWOOD LN",12,2016-02-24,2020-11-18,37211,28.5
"2350 ELM HILL PKE",12,2019-10-01,2020-12-15,37214,39
"255 OLD HICKORY BLVD",12,2016-06-09,2020-03-05,37221,38
"309 W TRINITY LN",12,2017-09-17,2020-07-19,37207,35
"317 MYATT DR",12,2016-06-23,2020-12-23,37115,34.5
"333 GALLATIN PKE S",12,2016-02-07,2020-12-31,37115,36
"3RD AV N / BROADWAY",12,2016-11-20,2021-01-01,37201,25
"402 22ND AVE N",12,2016-02-10,2019-01-27,37203,30.5
"4100 CECIL CT",12,2016-10-28,2018-06-13,37207,30
"4144 LEBANON PKE",12,2016-02-14,2020-11-26,37076,48
"5301 HICKORY HOLLOW LN",12,2016-02-21,2020-12-31,37013,36
"550 HARDING PL",12,2016-06-02,2020-07-21,37211,32.5
"591 N DUPONT AVE",12,2016-01-04,2019-06-12,37115,56.5
"919 N 12TH ST",12,2016-07-12,2020-12-30,37206,37
"10 INTERSTATE DR",11,2016-01-15,2019-04-10,37213,45
"1101 BELL RD",11,2017-10-13,2020-11-02,37013,35
"118 EMMITT AV",11,2019-08-03,2020-10-31,37115,33.5
"1201 BROADWAY",11,2017-03-22,2020-03-23,37203,29
"1210 MURFREESBORO PIKE",11,2016-05-25,2019-05-16,37217,34
"1211 BELL RD",11,2016-01-22,2020-04-11,37013,24.5
"1316 TULIP GROVE RD",11,2016-03-07,2020-09-03,37076,34.5
"200 GALLATIN PIKE S",11,2017-04-16,2019-05-24,37115,40
"2025 ROSA L PARKS BLVD",11,2017-04-07,2020-12-24,37228,35
"2201 CHILDRENS WAY",11,2016-11-08,2020-11-20,37212,69
"221 STEWARTS FERRY PIKE",11,2016-06-27,2019-04-06,37214,37
"2232 GALLATIN PIKE N",11,2016-09-20,2019-05-24,37115,41.5
"227 SHELBY AVE",11,2017-05-25,2019-06-01,37213,34.5
"2510 DICKERSON PIKE",11,2016-06-22,2019-06-21,37207,39
"2716 NODYNE DR",11,2016-04-04,2020-05-16,37214,25
"2929 SELENA DR",11,2016-08-29,2020-07-28,37211,47
"301 28TH AV N",11,2019-08-03,2020-12-07,37203,53
"311 W TRINITY LN",11,2016-07-12,2019-03-13,37207,50
"3110 ELM HILL PIKE",11,2016-08-09,2019-06-15,37214,38
"441 WELSHWOOD DR",11,2016-08-11,2020-04-10,37211,32.5
"570 MCMURRAY DR",11,2016-11-11,2020-06-02,37211,31
"5800 OLD HICKORY BLVD",11,2017-10-20,2020-12-08,37076,33
"810 BELLEVUE RD",11,2016-07-15,2020-12-07,37221,35.5
"813 DICKERSON PIKE S",11,2016-05-25,2019-02-10,37072,77
"8353 HIGHWAY 100",11,2017-01-07,2019-10-21,37221,79
"1010 CAMILLA CALDWELL LN",10,2016-07-23,2020-07-25,37218,78
"124 EAGAN CIR",10,2016-11-13,2020-02-07,37115,24
"1271 ANTIOCH PIKE",10,2016-04-28,2019-04-05,37211,49
"1415 DICKERSON PIKE",10,2016-12-06,2019-06-10,37207,47
"1516 GALLATIN PKE S",10,2019-07-26,2020-11-16,37115,36
"1516 HAMPTON ST",10,2016-11-29,2020-03-23,37207,38.5
"172 LUNA DR",10,2017-07-16,2020-12-24,37211,43
"189 WALLACE RD",10,2017-06-22,2020-08-27,37211,38
"2022 ROSA L PARKS BLVD",10,2016-04-25,2020-12-10,37228,35
"2232 GALLATIN PKE N",10,2019-09-05,2020-07-16,37115,34.5
"231 BRIDGEWAY CIR",10,2018-03-11,2020-12-06,37211,21
"2345 ATRIUM WAY",10,2016-09-05,2020-11-05,37214,36
"2664 SMITH SPRINGS RD",10,2016-04-17,2020-06-12,37217,33
"2715 WHITES CREEK PKE",10,2016-02-10,2020-11-14,37207,20
"340 HARDING PL",10,2016-07-22,2020-10-15,37211,36
"3414 PERCY PRIEST DR",10,2016-07-21,2020-10-30,37214,39
"3800 SAM BONEY DR",10,2016-10-03,2020-04-01,37211,81
"3939 HILLSBORO CIR",10,2016-04-21,2020-07-01,37215,64
"422 BROADWAY",10,2016-01-31,2019-05-20,37203,33
"4311 SIDCO DR",10,2017-12-02,2020-08-21,37204,36
"4343 OLD HICKORY BLVD",10,2016-06-19,2020-12-23,37138,43
"441 JANETTE AVE",10,2016-07-17,2018-11-20,37072,47.5
"5101 LINBAR DR",10,2016-07-14,2020-06-15,37211,37
"5161 RICE RD",10,2016-07-19,2020-06-02,37013,29
"5515 SCRUGGS LN",10,2017-10-13,2020-08-16,37207,34
"5600 COUNTRY DR",10,2016-08-20,2020-09-18,37211,37
"6001 OLD HICKORY BLVD",10,2016-06-10,2020-08-22,37076,24
"660 BELL RD",10,2016-07-18,2020-09-05,37013,41.5
"750 RIVERGATE PKWY",10,2018-02-14,2020-11-03,37072,31.5
"765 MCMURRAY DR",10,2016-09-09,2020-04-04,37211,37
"819 GALLATIN PKE S",10,2019-09-01,2020-12-24,37115,29
"821 MURFREESBORO PIKE",10,2016-04-24,2019-01-29,37217,37
"8283 RIVER ROAD PKE",10,2016-02-09,2020-12-28,37209,25
"906 RIVERGATE PKWY",10,2016-11-28,2020-08-09,37115,29
"909 CONFERENCE DR",10,2017-10-07,2020-12-16,37072,29
"916 ONEIDA AVE",10,2016-02-01,2019-06-08,37207,32.5
"AIRPORT PT 2",10,2017-07-30,2020-11-24,37214,38
"1201 CHEYENNE BLVD",9,2016-04-06,2020-03-17,37115,66.5
"1210 MURFREESBORO PKE",9,2020-04-15,2020-10-27,37217,35.5
"1271 ANTIOCH PKE",9,2016-03-16,2020-12-05,37211,35
"1333 DICKERSON PIKE",9,2016-05-29,2019-03-25,37207,32
"1745 DR D B TODD JR BLVD",9,2017-02-24,2020-09-25,37208,37
"1911 RIVERSIDE DR",9,2016-01-25,2020-03-26,37216,43
"200 GALLATIN PKE S",9,2019-07-17,2021-01-02,37115,31
"201 GIFFORD PL",9,2016-07-01,2020-06-22,37080,38
"2131 ELM HILL PIKE",9,2016-05-11,2018-06-26,37210,36
"2311 BRICK CHURCH PIKE",9,2016-09-04,2019-05-22,37207,45
"2623 OLD BUENA VISTA RD",9,2019-07-19,2020-08-22,37218,34
"275 COMROE RD",9,2019-01-11,2020-11-09,37211,30
"300 BAKERTOWN RD",9,2016-05-21,2020-08-18,37013,32
"300 BERKLEY DR",9,2016-08-02,2020-03-29,37115,51
"307 KATE ST",9,2016-09-09,2020-10-28,37115,35
"323 FOREST PARK RD",9,2016-07-08,2020-09-04,37115,34
"3258 BRICK CHURCH PIKE",9,2016-11-09,2019-04-11,37207,44
"3301 CREEKWOOD DR",9,2016-04-23,2020-05-24,37207,23
"380 HARDING PL",9,2016-09-09,2020-02-21,37211,27
"3940 BELL RD",9,2016-02-12,2020-09-19,37076,31.5
"411 MURFREESBORO PIKE",9,2016-04-28,2018-06-10,37210,45
"4347 LEBANON PIKE",9,2016-04-09,2019-01-02,37076,81
"500 MAIN ST",9,2016-07-25,2020-08-07,37206,27
"5099 LINBAR DR",9,2016-01-19,2020-06-15,37211,23
"510 GAY ST",9,2016-04-18,2018-10-02,37219,32
"510 OLD HICKORY BLVD",9,2016-04-06,2019-09-23,37209,31
"526 8TH AVE S",9,2016-03-07,2019-06-25,37203,42
"5636 OLD HICKORY BLVD",9,2019-05-23,2020-10-28,37076,36.5
"5655 FRIST BLVD",9,2017-06-19,2020-09-18,37076,16.5
"5824 NOLENSVILLE PIKE",9,2016-10-21,2019-05-24,37211,35
"615 NASHUA LN",9,2017-06-23,2018-04-12,37209,39
"625 GALLATIN PIKE N",9,2016-07-12,2019-05-03,37115,44
"7044 CHARLOTTE PKE",9,2016-01-13,2021-01-01,37209,30
"727 MCGAVOCK PKE",9,2019-09-12,2020-12-23,37214,39
"801 JEFFERSON ST",9,2018-05-07,2021-01-02,37208,29
"99 SPRING ST",9,2018-03-20,2020-02-26,37213,46
"100 CURTIS HOLLOW RD",8,2016-01-11,2020-09-08,37013,56
"100 ROBERT CARTWRIGHT DR",8,2016-07-22,2020-03-28,37072,38.5
"100 W TRINITY LN",8,2016-01-26,2021-01-02,37207,31.5
"1105 PRESTON DR",8,2016-12-14,2020-02-01,37206,38.5
"1229 OLD DICKERSON PIKE",8,2016-05-04,2019-03-26,37072,55
"1274 MURFREESBORO PIKE",8,2016-11-06,2019-02-04,37217,46.5
"13011 OLD HICKORY BLVD",8,2016-04-06,2020-05-30,37086,32.5
"135 BRINK HAVEN AVE",8,2016-06-22,2018-08-03,37115,39
"1515 DEMONBREUN ST",8,2017-07-22,2019-04-12,37203,29
"1519 CHURCH ST",8,2016-04-17,2019-05-03,37203,29
"1830 SPRING BRANCH DR",8,2016-09-25,2020-12-01,37115,36
"2284 MURFREESBORO PKE",8,2019-09-08,2020-11-01,37217,32
"2306 BRICK CHURCH PKE",8,2020-04-04,2020-10-03,37207,39
"2420 MUSIC VALLEY DR",8,2017-09-24,2020-12-15,37214,45
"2525 ELM HILL PKE",8,2020-01-29,2020-11-26,37214,34
"2541 HIBBITTS RD",8,2016-04-01,2019-02-06,37214,39
"2712 DICKERSON PIKE",8,2016-05-10,2019-02-10,37207,38
"2715 WHITES CREEK PIKE",8,2016-07-08,2018-09-18,37207,31.5
"2823 MURFREESBORO PKE",8,2019-07-20,2020-11-26,37013,35.5
"2900 HAMILTON CHURCH RD",8,2016-05-11,2019-12-21,37013,25.5
"2901 JOHN A MERRITT BLVD",8,2017-02-22,2020-11-14,37209,54.5
"320 WELCH RD",8,2019-09-07,2020-12-25,37211,27
"3217 COLBY DR",8,2019-01-25,2020-08-02,37211,48
"333 GALLATIN PIKE S",8,2017-06-17,2019-06-04,37115,46
"355 E CEDAR ST",8,2016-10-25,2020-10-09,37072,30
"3680 TAMPA DR",8,2019-01-14,2020-09-14,37211,21
"3705 OLD CLARKSVILLE PKE",8,2019-09-17,2020-09-20,37080,27
"411 E OLD HICKORY BLVD",8,2017-10-26,2020-12-18,37115,48
"4190 NOLENSVILLE PIKE",8,2016-10-18,2019-05-13,37211,33.5
"4271 SIDCO DR",8,2017-07-07,2020-09-29,37204,29
"430 HIGH ST",8,2016-10-22,2020-05-05,37211,31
"4820 FRANKLIN PIKE",8,2016-09-30,2019-01-09,37220,16
"591 N DUPONT AV",8,2019-07-12,2020-06-04,37115,50
"600 WHISPERING HILLS DR",8,2016-10-22,2020-03-31,37211,34
"6418 CENTENNIAL BLVD",8,2018-05-23,2020-06-13,37209,31
"709 KROHNE WAY",8,2016-01-20,2017-12-26,37013,40
"710 STEWARTS FERRY PKE",8,2019-09-26,2020-07-22,37214,36
"714 DUE WEST AVE N",8,2016-06-15,2019-05-04,37115,27
"720 ROYAL PKWY",8,2016-08-03,2020-12-28,37214,33
"7221 HIGHWAY 70 S",8,2016-07-12,2019-11-23,37221,29
"893 MURFREESBORO PIKE",8,2016-06-10,2019-05-27,37217,35
"8TH AV S / DREXEL ST",8,2017-02-24,2019-04-21,37203,50
"BELL RD / HICKORY HOLLOW PKWY",8,2018-11-23,2020-02-24,37013,35.5
"1015 JOYCE LN",7,2017-05-12,2020-12-23,37216,33.5
"1090 MURFREESBORO PKE",7,2016-01-13,2020-07-17,37217,33
"110 NORTHGATE DR",7,2016-05-19,2020-07-12,37072,40
"1121 BELL RD",7,2016-11-18,2020-11-03,37013,24
"1155 BELL RD",7,2017-11-10,2020-10-24,37013,33.5
"1191 MURFREESBORO PKE",7,2019-11-19,2020-12-14,37217,35
"1214 PIERCE RD",7,2018-12-18,2020-12-13,37115,33
"1805 ELECTRIC AVE",7,2016-01-25,2019-06-09,37206,63
"1902 DICKERSON PKE",7,2019-09-18,2020-12-06,37207,54
"1909 8TH AV S",7,2019-12-08,2020-09-13,37203,38
"200 NESBITT LN",7,2018-06-28,2020-12-10,37115,40.5
"204 LARGO DR",7,2017-11-12,2020-04-26,37211,32
"2131 ELM HILL PKE",7,2019-07-17,2021-01-02,37210,29
"217 LARGO DR",7,2017-03-08,2020-12-23,37211,31.5
"218 VALERIA ST",7,2016-12-07,2020-12-24,37210,56
"2212 NOLENSVILLE PKE",7,2019-10-11,2021-01-01,37210,40
"2284 MURFREESBORO PIKE",7,2016-06-04,2019-05-07,37217,30
"2501 FOREST VIEW DR",7,2017-03-13,2020-09-09,37013,26
"2511 ELM HILL PKE",7,2019-07-12,2020-11-06,37214,37
"2525 ELM HILL PIKE",7,2016-06-25,2019-03-23,37214,32
"2802 NOLENSVILLE PKE",7,2019-07-10,2020-10-22,37210,33
"2921 OLD FRANKLIN RD",7,2016-04-24,2020-06-29,37013,36
"2925 WINGATE AVE",7,2018-08-22,2019-06-13,37211,32
"300 HICKORY HOLLOW PL",7,2016-03-29,2020-10-31,37013,32
"308 BROADWAY",7,2017-02-05,2019-03-08,37219,23
"3130 CLARKSVILLE PIKE",7,2017-01-27,2019-02-22,37218,28
"331 PLUS PARK BLVD",7,2016-02-22,2019-06-02,37217,40
"3417 LEBANON PKE",7,2016-02-25,2020-12-29,37076,56
"3458 DICKERSON PKE",7,2017-10-02,2020-11-27,37207,35
"3501 ANDREW JACKSON WAY",7,2018-06-26,2020-06-14,37076,36
"365 MONACO DR",7,2018-11-07,2019-08-22,37076,23
"370 WALLACE RD",7,2016-11-08,2019-11-06,37211,40
"3703 DICKERSON PKE",7,2016-03-05,2020-12-12,37207,28
"3812 HILLSBORO PIKE",7,2017-03-03,2019-01-10,37215,15
"3RD AV S / BROADWAY",7,2016-06-12,2019-05-31,37219,24
"4041 NOLENSVILLE PIKE",7,2016-09-14,2018-10-18,37211,45.5
"412 BROADWAY",7,2016-06-04,2020-10-10,37203,28.5
"420 WELSHWOOD DR",7,2016-03-22,2020-02-23,37211,25.5
"4206 STAMMER PL",7,2017-01-24,2019-10-29,37215,88
"427 LAFAYETTE ST",7,2016-01-15,2020-07-11,37203,43
"4424 LEBANON PKE",7,2016-03-17,2020-10-31,37138,29
"4601 PACKARD DR",7,2016-07-25,2020-07-18,37211,30.5
"4TH AV N / COMMERCE ST",7,2016-09-03,2019-09-07,37219,44.5
"5000 MOUNTAIN SPRINGS RD",7,2016-08-05,2020-07-31,37013,26
"5011 RAWLINGS RD",7,2018-02-23,2020-07-25,37080,45
"510 HERITAGE DR",7,2016-11-05,2020-12-27,37115,27
"518 DONELSON PKE",7,2016-03-13,2020-11-20,37214,32
"525 SHELBY AVE",7,2016-12-03,2019-06-14,37206,65.5
"5800 MAUDINA AVE",7,2016-12-05,2019-02-12,37209,22
"601 FESSLERS LN",7,2017-10-06,2020-08-25,37210,28
"601 KOREAN VETERANS BLVD",7,2017-08-19,2020-09-04,37203,36
"623 UNION ST",7,2016-06-05,2020-10-10,37219,48
"650 WADE CIR",7,2017-08-01,2020-07-02,37072,44
"6924 CHARLOTTE PIKE",7,2016-06-30,2018-05-17,37209,51
"7002 CHARLOTTE PKE",7,2016-03-13,2021-01-01,37209,39
"7087 HIGHWAY 70 S",7,2017-10-30,2020-10-31,37221,33
"714 STEWARTS FERRY PKE",7,2019-11-02,2020-12-24,37214,30
"719 MYATT DR",7,2017-01-14,2020-07-31,37115,30
"7277 OLD HICKORY BLVD",7,2016-01-28,2019-03-19,37189,17
"733 BRILEY PKWY",7,2016-01-28,2020-11-14,37217,31
"7551 OLD HICKORY BLVD",7,2016-01-03,2020-12-13,37189,38
"844 LOUISVILLE HWY",7,2016-10-11,2019-07-18,37072,36
"860 MURFREESBORO PIKE",7,2016-07-24,2019-06-26,37217,36
"9 HERMITAGE AV",7,2019-07-23,2020-12-12,37210,37
"936 RIVERSIDE DR",7,2016-02-09,2020-06-16,37206,32
"BELL RD / CANE RIDGE RD",7,2016-01-28,2020-02-26,37013,25
"1000 ST LUKE DR",6,2017-01-01,2020-06-14,37205,58.5
"101 GALLATIN PKE N",6,2020-05-06,2020-11-07,37115,38
"109 GALLATIN PIKE N",6,2016-04-16,2019-02-01,37115,32.5
"110 OAK VALLEY DR",6,2018-10-12,2020-12-12,37207,50
"1100 BELL RD",6,2016-07-30,2020-09-27,37013,31.5
"1101 EDGEHILL AVE",6,2016-01-26,2018-12-03,37203,63.5
"1117 GALLATIN PIKE S",6,2016-12-02,2018-07-17,37115,32
"1131 BELL RD",6,2017-12-10,2020-12-19,37013,35.5
"121 4TH AVE S",6,2016-04-27,2019-04-22,37203,33.5
"12722 OLD HICKORY BLVD",6,2016-03-29,2020-03-13,37013,57
"1277 CHEYENNE BLVD",6,2019-06-23,2020-12-16,37115,39
"12848 OLD HICKORY BLVD",6,2016-10-12,2020-01-13,37013,16
"13010 OLD HICKORY BLVD",6,2017-07-21,2020-07-11,37013,34
"135 DONELSON PKE",6,2020-07-23,2020-10-24,37214,23
"1360 BRICK CHURCH PIKE",6,2016-05-12,2018-07-16,37207,37
"141 NEESE DR",6,2016-08-22,2020-10-19,37211,26
"1415 DICKERSON PKE",6,2019-10-24,2020-09-08,37207,37
"143 MCGAVOCK PKE",6,2019-07-03,2020-09-15,37214,37.5
"1433 MERIDIAN ST",6,2018-07-19,2020-10-06,37207,40
"1508 DICKERSON PIKE",6,2016-07-07,2019-04-01,37207,34.5
"1516 DEMONBREUN ST",6,2016-04-17,2018-05-05,37203,23
"15180 OLD HICKORY BLVD",6,2016-07-24,2020-10-23,37211,25.5
"1643 PATTERSON ST",6,2017-08-12,2020-09-14,37203,53
"170 LUNA DR",6,2018-12-10,2020-07-04,37211,33
"1710 MAGNOLIA BLVD",6,2017-08-26,2019-03-04,37212,73.5
"1900 ACKLEN AVE",6,2016-05-14,2019-01-06,37212,75
"201 E PALESTINE AVE",6,2016-02-09,2019-06-04,37115,40
"201 GRIZZARD AVE",6,2016-07-09,2017-09-12,37207,49
"206 WHITSETT RD",6,2016-04-07,2020-06-21,37210,55
"2136 CLIFF DR",6,2016-11-23,2020-09-28,37218,61.5
"219 PEACHTREE ST",6,2016-11-30,2020-05-06,37210,30
"220 CAPITOL VIEW AV",6,2019-12-28,2020-09-14,37207,63
"2200 BRICK CHURCH PIKE",6,2016-11-21,2019-05-25,37207,41
"2200 NOLENSVILLE PIKE",6,2017-02-24,2019-04-22,37210,40
"2213 WICKSON AV",6,2019-10-03,2020-09-25,37210,66.5
"2332 NASHBORO BLVD",6,2019-06-11,2020-02-01,37217,58
"2394 LEBANON PIKE",6,2017-09-08,2019-04-12,37214,26
"2400 BUENA VISTA PKE",6,2016-01-05,2020-12-07,37218,29.5
"2401 BRICK CHURCH PIKE",6,2016-10-16,2018-11-04,37207,33
"2403 BRICK CHURCH PKE",6,2019-07-14,2020-07-23,37207,50
"2435 ATRIUM WAY",6,2018-08-25,2020-09-11,37214,37
"2460 MUSIC VALLEY DR",6,2017-05-17,2020-11-26,37214,46.5
"250 5TH AVE S",6,2016-07-16,2019-03-06,37203,41
"2641 MESA DR",6,2016-10-09,2020-09-09,37217,28.5
"2712 DICKERSON PKE",6,2019-10-25,2020-11-07,37207,49
"2827 SMITH SPRINGS RD",6,2017-05-01,2020-01-07,37217,31.5
"2900 BABY RUTH LN",6,2017-06-23,2020-11-07,37013,18.5
"300 KATE ST",6,2016-10-13,2020-12-30,37115,37
"308 ELBERTA ST",6,2019-06-02,2020-11-04,37210,43
"308 PLUS PARK BLVD",6,2018-12-11,2020-10-22,37217,41
"3110 NOLENSVILLE PIKE",6,2016-06-13,2019-02-19,37211,50
